Type,"Category","Key","Korean","Description",Region,Image,Video,CustomPosition
Common,"","开封","개봉","",
Common,"","南门大街","남문 대로","",
Common,"","角门里","각문리","",
Common,"","百工坊","백공방","",
Common,"","勾栏瓦肆","연희 거리","",
Common,"","开封府","개봉부","",
Common,"","熔炉区","용광로 구역","",
Common,"","寿昌坊","수창방","",
Common,"","醉花阴","취화음","",
Common,"","清心圃","청심원","",
Common,"","六疾馆遗址","육병관 유적","",
Common,"","开封南郊","개봉 남쪽 외곽","",
Common,"","开封东郊","개봉 동쪽 외곽","",
Common,"","雾隐之林","안개숲","",
Common,"","白马津","백마 나루","",
Common,"","达安村","달안촌","",
Common,"","常平仓","상평창","",
Common,"","平野原","평야원","",
Common,"","造像处","조각소","",
Common,"","金明池","금명지","",
Common,"","开封皇宫","황궁"
Override,"17310010006","101384036352","상자 (지상)","석상이 물대포를 플레이어에게 보낼때 태극권을 이용하여 진흙으로 향하게 해야합니다.","천고신룡전",,[https://youtu.be/82_BTHAl-40],[1.283662|-1.102238]
Override,"17310010088","698828607488","천공 동굴 · 3연속 일격 1","이 동굴에는 파란 꽃이 존재하고, 이전처럼 제한 시간 내에 모두 맞추는 것이 아닌 화살이 한번에 모든 꽃을 통과하도록 쏴야합니다.","달안촌"
Override,"17310010007","417736339456","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","달안촌"
Override,"17310010007","593210871808","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","달안촌"
Override,"17310010007","690788397056","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","달안촌"
Override,"17310010007","584215855104","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","평야원"
Override,"17310010007","454169030656","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","평야원"
Override,"17310010007","827532861440","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","평야원"
Override,"17310010007","697590894592","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","평야원"
Override,"17310010007","427735638016","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","평야원"
Override,"17310010007","729035366400","상자 (지하)","천공 동굴 · 3연속 일격 천공 동굴 내부에 존재하는 상자입니다.","평야원"
Override,"17310010008","402290524160","한밤의 쥐","상자를 부수고 쥐 3마리를 잡으세요.<hr>쥐를 닮은 모습으로 크고, 몸은 깨끗하며, 털은 회흑색이고, 둥근 머리와 큰 귀, 긴 수염과 늘어진 꼬리를 지녔고 성질이 교활하다. 삼경 양기가 움직일 때 출몰하며 검은 곡물을 먹을 때마다 기묘한 소리를 내며 흥겨워한다. 은밀한 곳이나 옹기 항아리 속에 숨기를 좋아한다.","평야원"
Override,"17310010080","203852652544","유아 노파 & 주원룬 & 주 부인","유아 노파, 주원룬, 주 부인과 함께하는 엽자희 게임입니다."
Override,"17310010012","85198188544","곡경심유 (파랑나비)"," ","목판소"
Override,"17310010008","787524104192","천둥초","보랏빛 둥근 꽃으로 솜털처럼 부드럽고, 크기는 대야만 하며 개화 기간이 매우 길다. 바람이 불면 천둥 소리처럼 울리고, 건드리면 폭죽 소리를 내며 흩어지며 솜털이 날린다. 맛은 달콤 쌉쌀하고 성질은 차가워 모든 경락에 들어가며 양명의 화를 식혀 설사를 멈추게 한다.","목판소"
Override,"17310010008","689490558976","천둥초","보랏빛 둥근 꽃으로 솜털처럼 부드럽고, 크기는 대야만 하며 개화 기간이 매우 길다. 바람이 불면 천둥 소리처럼 울리고, 건드리면 폭죽 소리를 내며 흩어지며 솜털이 날린다. 맛은 달콤 쌉쌀하고 성질은 차가워 모든 경락에 들어가며 양명의 화를 식혀 설사를 멈추게 한다.","목판소"
Override,"17310010008","4803985408","비범한 계수나무 가지","하얗고 연한 가지가 계수나무 높은 곳에서 자라는데, 만지면 아이들이 웃는 듯한 소리가 난다. 변량에 둥근 모양의 기이한 새가 이를 물어다 둥지를 짓곤하는데, 사람을 보면 도망쳐 계수 나뭇가지만 남겨진다. 이 가지로 술을 달여 마시면 근심을 잊는다 하여 '비범한 계수나무 가지'라고 불린다.","목판소"
Override,"17310010008","448519405568","한밤의 쥐","상자를 부수고 쥐 1마리를 잡으세요.<hr>쥐를 닮은 모습으로 크고, 몸은 깨끗하며, 털은 회흑색이고, 둥근 머리와 큰 귀, 긴 수염과 늘어진 꼬리를 지녔고 성질이 교활하다. 삼경 양기가 움직일 때 출몰하며 검은 곡물을 먹을 때마다 기묘한 소리를 내며 흥겨워한다. 은밀한 곳이나 옹기 항아리 속에 숨기를 좋아한다.","목판소"
Override,"17310010008","535559692288","고급 제비집","옥빛 은실로 된 작은 잔 모양의 제비집은 높은 곳에서 제비 새끼를 품고 있다. 수십 년 전, 절벽에 갇힌 한 강호의 나그네가 제비 울음소리를 따라가 보았지만, 끝내 찾지 못했고 바람에 흔들리는 제비집만이 새 울음 같은 소리를 내며 흔들리고 있을 뿐이었다. 이후 그가 탈출한 뒤 다시 그곳을 찾아 나섰지만, 끝내 제비집을 발견하지 못했다고 한다.","목판소"
Override,"17310010008","713338933248","달빛 금두꺼비","삼족 금두꺼비는 늪과 연못에 출몰하며 달빛을 쬐면 기쁜 소리를 내고 구름이 달을 가리면 구슬픈 소리를 낸다. 삼족 금두꺼비는 재물을 모으는 힘이 있다고 전해진다. 전 왕조의 어느 한 부자가 이를 얻은 후, 재물운이 크게 좋아져 날마다 많은 재물을 쌓았고 사람들은 이를 기이하게 여겼다.","목판소"
Override,"17310010008","753157226496","달빛 금두꺼비","삼족 금두꺼비는 늪과 연못에 출몰하며 달빛을 쬐면 기쁜 소리를 내고 구름이 달을 가리면 구슬픈 소리를 낸다. 삼족 금두꺼비는 재물을 모으는 힘이 있다고 전해진다. 전 왕조의 어느 한 부자가 이를 얻은 후, 재물운이 크게 좋아져 날마다 많은 재물을 쌓았고 사람들은 이를 기이하게 여겼다.","목판소"
